Identificador,FK_Evaluacion_Evaluacion,FK_Alumnos_Apellidos_Nombre,FK_Modulos_Nombre,FK_Notas_Nota,Nota Real
340,1,1957,27,9,8
341,1,99,265,8,7
342,1,872,265,9,8
343,1,2322,285,11,10
344,1,2323,285,5,4
345,1,2327,285,8,7
346,1,2328,285,10,9
347,1,2330,285,11,10
348,1,2331,285,9,8
349,1,2338,285,8,7
350,1,2340,285,9,8
351,1,2344,285,6,5
352,1,2346,285,10,9
353,1,2347,285,9,8
354,1,2299,87,9,8
355,1,2300,106,9,8
356,1,1508,87,11,10
357,1,2302,87,9,8
358,1,1537,87,10,9
359,1,2303,87,9,8
360,1,2304,87,10,9
361,1,2306,87,8,7
362,1,1588,87,8,7
363,1,1561,87,10,9
364,1,2308,87,8,7
365,1,1665,87,9,8
366,1,1600,87,9,8
367,1,2309,87,9,8
371,1,1560,87,9,8
372,1,2313,87,8,7
373,1,2314,87,10,9
374,1,2316,87,9,8
375,1,2318,87,10,9
376,1,1552,87,9,8
377,1,2319,87,10,9
378,1,1611,87,8,7
379,1,2307,87,8,7
380,1,2300,87,9,8
381,1,1820,259,10,9
382,1,2357,259,10,9
383,1,1704,259,10,9
384,1,1862,259,9,8
385,1,1822,259,10,9
386,1,1337,259,10,9
387,1,2070,259,9,8
388,1,1824,259,8,7
389,1,1898,259,13,12
390,1,1814,259,9,8
391,1,1826,259,8,7
392,1,1849,259,8,7
393,1,1836,259,13,12
394,1,1855,259,6,5
395,1,2075,259,13,12
396,1,2077,259,9,8
397,1,1837,259,9,8
398,1,1727,259,8,7
399,1,1840,259,9,8
400,1,1413,259,8,7
401,1,1843,259,7,6
402,1,1845,259,6,5
403,1,2072,259,10,9
404,1,2061,259,8,7
405,1,1848,259,10,9
406,1,1819,279,13,12
407,1,1923,279,9,8
408,1,1868,279,8,7
409,1,2045,279,9,8
410,1,1896,279,10,9
411,1,2081,279,9,8
412,1,1815,279,10,9
413,1,1968,279,10,9
414,1,2680,279,7,6
415,1,1869,279,10,9
416,1,1989,279,11,10
417,1,1852,279,10,9
418,1,1729,279,11,10
419,1,1897,279,7,6
420,1,2130,279,9,8
421,1,1853,279,9,8
422,1,1818,279,10,9
423,1,2092,279,9,8
424,1,1854,279,4,3
425,1,1870,279,8,7
426,1,2073,279,7,6
427,1,2054,279,13,12
428,1,2047,279,9,8
429,1,1867,279,10,9
430,1,2639,27,9,8
431,1,2191,27,7,6
432,1,2051,27,6,5
433,1,2352,27,9,8
434,1,2149,358,10,9
436,1,2265,358,14,13
437,1,2151,358,9,8
439,1,2300,85,9,8
440,1,1508,85,11,10
441,1,2302,85,8,7
442,1,1537,85,10,9
443,1,2303,85,9,8
444,1,2304,85,10,9
445,1,2306,85,7,6
446,1,1588,85,8,7
447,1,1561,85,10,9
448,1,2308,85,7,6
449,1,1665,85,8,7
450,1,1600,85,9,8
451,1,2309,85,9,8
453,1,25,85,7,6
454,1,191,85,9,8
455,1,1560,85,8,7
456,1,2313,85,7,6
457,1,2314,85,10,9
458,1,2316,85,9,8
459,1,2318,85,9,8
460,1,1612,85,8,7
461,1,1552,85,9,8
462,1,2319,85,10,9
463,1,1611,85,9,8
465,1,2152,358,8,7
466,1,2153,358,9,8
467,1,2155,358,7,6
468,1,2156,358,6,5
469,1,2157,358,3,2
470,1,2266,358,8,7
471,1,1267,358,10,9
472,1,2158,358,10,9
473,1,2267,358,10,9
474,1,1485,12,10,9
475,1,2209,46,7,6
476,1,1496,12,7,6
477,1,1598,12,9,8
478,1,1513,12,9,8
479,1,2211,12,7,6
480,1,1630,12,7,6
481,1,983,12,10,9
482,1,112,12,7,6
483,1,1551,12,8,7
484,1,1480,12,8,7
485,1,1586,12,10,9
486,1,1517,12,11,10
487,1,1590,12,10,9
488,1,1548,12,11,10
489,1,1618,12,5,4
490,1,1591,12,6,5
491,1,1483,12,11,10
492,1,1623,12,6,5
493,1,1522,12,10,9
494,1,2210,12,9,8
495,1,1634,12,8,7
496,1,1277,161,9,8
497,1,2195,161,11,10
498,1,1621,161,7,6
499,1,2196,161,7,6
500,1,1577,161,9,8
501,1,2143,161,9,8
502,1,2207,161,11,10
503,1,1149,161,8,7
504,1,1555,161,7,6
505,1,1187,161,7,6
506,1,2089,161,6,5
507,1,1150,161,7,6
508,1,1404,161,8,7
509,1,2351,29,10,9
510,1,2268,29,10,9
511,1,2269,29,6,5
512,1,2270,29,8,7
513,1,2271,29,9,8
514,1,2272,29,10,9
515,1,1606,29,6,5
516,1,2273,29,9,8
517,1,2274,29,7,6
518,1,2275,29,3,2
519,1,2276,29,8,7
520,1,2277,29,6,5
521,1,2278,29,8,7
522,1,2281,29,9,8
523,1,2283,29,8,7
524,1,2284,29,10,9
525,1,2285,29,10,9
526,1,2286,29,7,6
527,1,2287,29,7,6
528,1,2265,500,6,5
530,1,2151,500,8,7
531,1,2152,500,9,8
532,1,2153,500,7,6
533,1,2155,500,6,5
534,1,2156,500,5,4
535,1,2157,500,3,2
536,1,2266,500,6,5
537,1,1267,500,9,8
538,1,2159,500,7,6
539,1,2267,500,9,8
540,1,2149,500,7,6
541,1,2158,500,10,9
544,1,2149,499,8,7
545,1,2287,30,7,6
546,1,2151,499,10,9
548,1,2152,499,10,9
549,1,2153,499,8,7
550,1,2281,30,9,8
551,1,2155,499,6,5
552,1,2274,30,7,6
553,1,2156,499,7,6
554,1,2351,30,6,5
555,1,2157,499,2,1
556,1,2266,499,5,4
557,1,2278,30,5,4
558,1,1267,499,10,9
559,1,2159,499,5,4
560,1,2283,30,5,4
561,1,2267,499,8,7
562,1,2158,499,11,10
563,1,2270,30,6,5
564,1,1606,30,6,5
565,1,2275,30,3,2
566,1,2265,323,5,4
567,1,2276,30,5,4
568,1,2277,30,4,3
569,1,2151,323,9,8
570,1,2149,323,7,6
571,1,2152,323,9,8
572,1,2153,323,7,6
573,1,2286,30,6,5
574,1,2155,323,6,5
575,1,2156,323,6,5
576,1,2157,323,3,2
577,1,2266,323,5,4
578,1,1267,323,9,8
579,1,2159,323,6,5
580,1,2267,323,8,7
581,1,2158,323,11,10
582,1,2337,285,9,8
583,1,2325,285,8,7
584,1,2332,285,10,9
585,1,1859,285,10,9
586,1,2333,285,7,6
587,1,2339,285,7,6
588,1,2341,285,6,5
589,1,2343,285,9,8
590,1,1650,265,7,6
591,1,1847,259,8,7
592,1,1620,267,8,7
593,1,1619,267,9,8
594,1,1542,267,7,6
595,1,1572,267,6,5
596,1,1640,267,9,8
597,1,1554,267,9,8
598,1,2245,267,6,5
599,1,882,201,10,9
600,1,99,267,10,9
601,1,1624,267,9,8
602,1,1498,267,9,8
603,1,1656,267,5,4
604,1,1573,267,10,9
605,1,2247,267,6,5
606,1,1613,267,7,6
607,1,992,267,7,6
608,1,1491,267,8,7
609,1,893,267,8,7
610,1,2250,267,6,5
611,1,2251,267,10,9
612,1,1493,267,8,7
613,1,2253,267,6,5
614,1,1544,267,11,10
615,1,1616,267,9,8
616,1,1559,267,10,9
617,1,1650,267,6,5
618,1,872,267,3,2
619,1,1402,201,7,6
620,1,2203,201,7,6
621,1,1841,279,11,10
622,1,1589,201,7,6
623,1,892,201,7,6
624,1,1636,201,7,6
625,1,2205,201,6,5
626,1,1585,201,8,7
627,1,2208,201,8,7
628,1,2321,287,8,7
629,1,1646,201,8,7
630,1,2322,287,11,10
631,1,1546,201,8,7
632,1,1546,200,9,8
633,1,2323,287,7,6
634,1,1646,200,11,10
635,1,2208,200,10,9
636,1,1585,200,9,8
637,1,2205,200,9,8
638,1,1636,200,8,7
639,1,892,200,10,9
640,1,2327,287,8,7
641,1,1589,200,8,7
642,1,2325,287,10,9
643,1,2203,200,7,6
644,1,1402,200,8,7
645,1,882,200,11,10
646,1,2328,287,9,8
647,1,2299,88,9,8
648,1,2300,88,9,8
649,1,1611,88,9,8
650,1,1508,88,7,6
651,1,2302,88,7,6
652,1,2303,88,10,9
653,1,2304,88,10,9
654,1,2306,88,6,5
655,1,2307,88,8,7
656,1,1588,88,7,6
657,1,1561,88,7,6
658,1,2308,88,10,9
659,1,1665,88,7,6
660,1,1600,88,9,8
661,1,2309,88,10,9
663,1,1277,162,10,9
664,1,2195,162,10,9
665,1,2311,88,6,5
666,1,1621,162,8,7
667,1,2310,88,6,5
668,1,2196,162,7,6
670,1,2143,162,9,8
671,1,2207,162,10,9
672,1,1560,88,10,9
673,1,2318,88,10,9
674,1,1149,162,8,7
675,1,1612,88,8,7
676,1,2319,88,10,9
677,1,2314,88,7,6
678,1,2312,88,7,6
679,1,2316,88,6,5
680,1,2313,88,7,6
681,1,1555,162,7,6
682,1,1187,162,9,8
683,1,2089,162,9,8
684,1,1150,162,8,7
685,1,1404,162,9,8
686,1,2321,284,6,5
687,1,2322,284,10,9
688,1,2325,284,9,8
689,1,2327,284,7,6
690,1,2328,284,10,9
691,1,2361,284,9,8
692,1,2330,284,9,8
693,1,2331,284,9,8
694,1,2333,284,8,7
695,1,2337,284,8,7
696,1,2338,284,7,6
697,1,2339,284,8,7
698,1,2340,284,9,8
699,1,2341,284,8,7
700,1,2342,284,8,7
701,1,2343,284,9,8
702,1,2344,284,6,5
703,1,2346,284,9,8
704,1,2347,284,8,7
705,1,2332,284,9,8
706,1,1620,264,8,7
707,1,1619,264,11,10
708,1,1542,264,9,8
710,1,1554,264,9,8
711,1,1650,264,7,6
712,1,99,264,10,9
713,1,1624,264,9,8
714,1,1498,264,9,8
715,1,1573,264,8,7
716,1,2247,264,6,5
717,1,1613,264,7,6
718,1,992,264,8,7
719,1,872,264,7,6
720,1,1491,264,8,7
721,1,893,264,8,7
722,1,2250,264,7,6
723,1,2251,264,10,9
724,1,1493,264,8,7
725,1,2253,264,8,7
726,1,1544,264,9,8
727,1,1616,264,9,8
728,1,1559,264,10,9
729,1,1640,264,9,8
731,1,1620,263,6,5
732,1,1619,263,10,9
733,1,1542,263,7,6
734,1,1640,263,7,6
735,1,1554,263,9,8
736,1,2245,263,4,3
737,1,1650,263,5,4
738,1,99,263,7,6
739,1,1624,263,8,7
740,1,1498,263,8,7
741,1,1656,263,5,4
742,1,1573,263,9,8
743,1,2247,263,5,4
744,1,1620,262,9,8
745,1,1619,262,11,10
746,1,1613,263,7,6
747,1,1542,262,11,10
748,1,992,263,7,6
749,1,1640,262,10,9
750,1,992,263,7,6
751,1,872,263,4,3
752,1,1554,262,11,10
753,1,1491,263,6,5
754,1,893,263,8,7
755,1,2250,263,6,5
756,1,2245,262,7,6
757,1,2251,263,8,7
758,1,1650,262,9,8
759,1,1493,263,7,6
760,1,1624,262,11,10
761,1,2253,263,6,5
762,1,1498,262,11,10
763,1,1544,263,8,7
764,1,1616,263,9,8
765,1,1656,262,8,7
766,1,1559,263,9,8
767,1,1573,262,8,7
768,1,2247,262,9,8
769,1,1613,262,9,8
770,1,872,262,10,9
771,1,1491,262,10,9
772,1,2251,262,10,9
773,1,2253,262,10,9
774,1,1616,262,10,9
775,1,1559,262,11,10
776,1,2344,282,7,6
777,1,2339,282,9,8
778,1,2347,282,7,6
779,1,2321,282,6,5
780,1,2327,282,6,5
781,1,2343,282,10,9
782,1,1493,262,10,9
783,1,2330,282,11,10
784,1,2361,282,10,9
785,1,2346,282,11,10
786,1,2340,282,9,8
787,1,2331,282,10,9
788,1,2323,282,7,6
789,1,2338,282,7,6
790,1,2341,282,8,7
791,1,2325,282,8,7
792,1,2337,282,9,8
793,1,2342,282,8,7
794,1,2328,282,10,9
795,1,2322,282,11,10
796,1,2333,282,8,7
797,1,2334,282,11,10
798,1,2361,287,9,8
799,1,2330,287,9,8
800,1,2331,287,9,8
801,1,2332,287,9,8
802,1,2333,287,7,6
803,1,2334,287,10,9
804,1,2337,287,9,8
805,1,2338,287,8,7
806,1,2339,287,8,7
807,1,2340,287,10,9
808,1,2341,287,6,5
809,1,2342,287,7,6
810,1,2343,287,10,9
811,1,2344,287,6,5
812,1,2346,287,9,8
813,1,2347,287,9,8
814,1,2158,355,10,9
815,1,2151,355,8,7
816,1,2267,355,10,9
818,1,2155,355,6,5
819,1,2149,355,10,9
820,1,2153,355,8,7
821,1,2265,355,7,6
822,1,2266,355,6,5
823,1,1267,355,9,8
824,1,2159,355,3,2
825,1,2321,283,5,4
826,1,2322,283,8,7
827,1,2152,355,9,8
828,1,2323,283,5,4
829,1,2157,355,6,5
830,1,2325,283,8,7
831,1,2327,283,6,5
832,1,2328,283,9,8
833,1,2156,355,5,4
834,1,2361,283,7,6
835,1,2330,283,8,7
836,1,2331,283,8,7
837,1,2332,283,9,8
838,1,2333,283,5,4
839,1,2334,283,9,8
840,1,2337,283,9,8
841,1,2338,283,5,4
842,1,2339,283,6,5
843,1,2340,283,9,8
844,1,2341,283,6,5
845,1,2342,283,6,5
846,1,2343,283,8,7
847,1,2344,283,5,4
848,1,2346,283,8,7
849,1,2347,283,8,7
850,1,2307,85,9,8
851,1,2334,284,9,8
852,1,2314,89,8,7
853,1,2319,89,9,8
854,1,2313,89,6,5
855,1,2311,89,8,7
856,1,2312,89,6,5
857,1,2306,89,6,5
858,1,1508,89,9,8
859,1,1588,89,8,7
860,1,1665,89,9,8
861,1,1561,89,10,9
862,1,2307,89,8,7
863,1,1552,89,9,8
864,1,2309,89,10,9
865,1,2318,89,9,8
866,1,1537,89,8,7
867,1,1612,89,8,7
868,1,2310,89,11,10
869,1,2299,89,9,8
870,1,2303,89,10,9
871,1,1600,89,11,10
872,1,2300,89,6,5
873,1,2302,89,8,7
874,1,2308,89,6,5
876,1,1560,89,9,8
877,1,2321,285,6,5
878,1,1611,89,8,7
879,1,2334,285,11,10
880,1,2316,89,6,5
881,1,2304,89,10,9
882,1,2342,285,5,4
883,1,1617,127,8,7
884,1,1507,127,10,9
885,1,1494,127,9,8
886,1,1639,127,7,6
887,1,1553,127,5,4
888,1,2265,499,4,3
889,1,955,127,10,9
890,1,1627,127,8,7
891,1,1632,127,9,8
892,1,2218,127,10,9
893,1,1512,127,7,6
894,1,2364,127,8,7
895,1,1515,127,10,9
896,1,1492,127,10,9
897,1,1505,127,10,9
898,1,956,127,10,9
899,1,968,127,8,7
900,1,2216,127,7,6
901,1,1604,127,8,7
902,1,839,127,7,6
903,1,1495,127,10,9
904,1,2217,127,6,5
905,1,1524,127,7,6
906,1,2266,323,6,5
907,1,1485,14,6,5
908,1,2209,14,5,4
909,1,1598,14,7,6
910,1,1513,14,9,8
911,1,2211,14,5,4
912,1,1630,14,7,6
913,1,983,14,8,7
914,1,112,14,7,6
915,1,1551,14,6,5
916,1,1480,14,5,4
917,1,1586,14,9,8
918,1,1517,14,8,7
919,1,1590,14,8,7
920,1,1548,14,8,7
921,1,1618,14,5,4
922,1,1591,14,7,6
923,1,1483,14,10,9
924,1,1623,14,5,4
925,1,1522,14,7,6
926,1,2210,14,9,8
927,1,1634,14,8,7
928,1,1552,88,7,6
929,1,1537,88,7,6
934,1,1614,200,10,9
935,1,1578,200,11,10
936,1,1599,200,7,6
937,1,2206,200,11,10
938,1,1608,200,8,7
939,1,2202,200,10,9
940,1,1584,201,5,4
941,1,1614,201,9,8
942,1,1578,201,6,5
943,1,1599,201,6,5
944,1,2206,201,9,8
945,1,1608,201,7,6
946,1,99,262,10,9
947,1,2202,201,6,5
948,1,2323,284,6,5
949,1,1584,200,7,6
950,1,1544,262,10,9
951,1,1656,264,7,6
952,1,2245,264,3,2
953,1,992,262,9,8
954,1,1548,317,9,8
955,1,1623,317,6,5
956,1,1551,317,7,6
957,1,1630,317,8,7
958,1,1513,317,7,6
959,1,1483,317,10,9
960,1,2209,377,7,6
961,1,1517,317,10,9
962,1,1591,317,8,7
963,1,1485,317,8,7
964,1,2005,317,7,6
965,1,2211,317,6,5
966,1,1522,317,9,8
967,1,1586,317,10,9
968,1,2149,349,9,8
969,1,1618,317,6,5
970,1,2265,349,7,6
971,1,2210,317,9,8
972,1,2151,349,8,7
973,1,1598,317,8,7
974,1,1480,317,14,13
975,1,2152,349,9,8
976,1,1496,317,6,5
977,1,2153,349,9,8
978,1,1590,317,9,8
979,1,983,317,10,9
980,1,1634,317,8,7
981,1,2155,349,6,5
982,1,2156,349,5,4
983,1,2157,349,4,3
984,1,2266,349,8,7
985,1,1267,349,10,9
986,1,2158,349,11,10
987,1,2159,349,7,6
988,1,2267,349,9,8
989,1,955,124,5,4
990,1,1492,124,5,4
991,1,1632,124,5,4
992,1,1507,124,9,8
993,1,882,202,10,9
994,1,1512,124,6,5
995,1,1584,202,6,5
996,1,1639,124,6,5
997,1,2202,202,6,5
998,1,1505,124,7,6
999,1,1614,202,7,6
1000,1,1524,124,4,3
1001,1,2203,202,3,2
1002,1,956,124,8,7
1003,1,1589,202,8,7
1004,1,2216,124,5,4
1005,1,892,202,7,6
1006,1,1636,202,5,4
1007,1,1494,124,7,6
1008,1,1495,124,7,6
1009,1,1578,202,7,6
1010,1,2217,124,5,4
1011,1,2205,202,5,4
1012,1,1599,202,5,4
1013,1,1627,124,7,6
1014,1,839,124,6,5
1015,1,2206,202,9,8
1016,1,1585,202,7,6
1017,1,968,124,7,6
1018,1,2218,124,7,6
1019,1,2208,202,8,7
1020,1,1617,124,6,5
1021,1,1608,202,5,4
1022,1,1646,202,7,6
1023,1,2364,124,6,5
1024,1,1546,202,6,5
1025,1,1604,124,6,5
1026,1,1402,202,14,13
1027,1,1515,124,8,7
1028,1,1553,124,6,5
1029,1,882,204,8,7
1030,1,1584,204,7,6
1031,1,2202,204,5,4
1032,1,1614,204,8,7
1033,1,2203,204,6,5
1034,1,955,122,9,8
1035,1,1589,204,8,7
1036,1,892,204,8,7
1037,1,1492,122,7,6
1038,1,1636,204,4,3
1039,1,1632,122,9,8
1040,1,1578,204,6,5
1041,1,1507,122,10,9
1042,1,2205,204,6,5
1043,1,1512,122,5,4
1044,1,1599,204,4,3
1045,1,1639,122,9,8
1046,1,2206,204,8,7
1047,1,1585,204,5,4
1048,1,1505,122,7,6
1049,1,1524,122,6,5
1050,1,2208,204,9,8
1051,1,956,122,9,8
1052,1,1608,204,4,3
1053,1,1646,204,9,8
1054,1,2216,122,7,6
1055,1,1546,204,4,3
1056,1,1494,122,8,7
1057,1,839,122,8,7
1058,1,1495,122,8,7
1059,1,2217,122,6,5
1060,1,1627,122,8,7
1061,1,968,122,7,6
1062,1,2218,122,8,7
1063,1,2272,318,8,7
1064,1,1617,122,7,6
1065,1,2364,122,8,7
1066,1,1604,122,8,7
1067,1,2281,318,7,6
1068,1,2275,318,4,3
1069,1,1515,122,8,7
1070,1,2276,318,8,7
1071,1,2351,318,7,6
1072,1,1553,122,5,4
1073,1,2283,318,8,7
1074,1,2285,318,10,9
1075,1,2269,318,5,4
1076,1,2271,318,6,5
1077,1,2268,318,7,6
1078,1,2273,318,7,6
1079,1,2287,318,6,5
1080,1,2284,318,8,7
1081,1,2286,318,10,9
1082,1,2278,318,8,7
1083,1,2277,318,6,5
1084,1,2270,318,8,7
1085,1,1606,318,4,3
1086,1,2274,318,6,5
1087,1,2158,350,10,9
1088,1,2151,350,9,8
1089,1,2267,350,10,9
1090,1,2155,350,6,5
1091,1,2153,350,9,8
1092,1,2265,350,7,6
1093,1,2266,350,7,6
1094,1,1267,350,10,9
1095,1,2159,350,6,5
1096,1,2152,350,9,8
1097,1,2149,350,8,7
1098,1,2157,350,3,2
1099,1,2156,350,2,1
1100,1,983,13,8,7
1101,1,1598,13,6,5
1102,1,1548,13,10,9
1103,1,1590,13,9,8
1104,1,1634,13,7,6
1105,1,1586,13,10,9
1106,1,1517,13,10,9
1107,1,1485,13,7,6
1108,1,1551,13,7,6
1109,1,1496,13,5,4
1110,1,1513,13,9,8
1111,1,2211,13,6,5
1112,1,2210,13,9,8
1113,1,1623,13,6,5
1114,1,1630,13,7,6
1115,1,2005,13,6,5
1116,1,1522,13,6,5
1117,1,1483,13,11,10
1118,1,1618,13,5,4
1119,1,1480,13,5,4
1120,1,1591,13,6,5
1121,1,2209,13,6,5
1122,1,2382,50,10,9
1123,1,1645,50,9,8
1124,1,2219,50,5,4
1125,1,945,108,8,7
1126,1,2388,108,4,3
1127,1,2203,205,7,6
1128,1,1608,205,7,6
1129,1,1578,205,8,7
1130,1,892,205,8,7
1131,1,2214,108,3,2
1132,1,882,205,10,9
1133,1,2206,205,10,9
1134,1,1636,205,6,5
